"2767600688","20141113T000000",414500,2,1.5,1210,1278,"2",0,0,3,8,1020,190,2007,0,"98117",47.6756,-122.375,1210,1118
"7570050450","20140910T000000",347500,3,2.5,2540,4760,"2",0,0,3,8,2540,0,2010,0,"98038",47.3452,-122.022,2540,4571
"7430200100","20140514T000000",1.2225e+006,4,3.5,4910,9444,"1.5",0,0,3,11,3110,1800,2007,0,"98074",47.6502,-122.066,4560,11063
"4140940150","20141002T000000",572000,4,2.75,2770,3852,"2",0,0,3,8,2770,0,2014,0,"98178",47.5001,-122.232,1810,5641
"1931300412","20150416T000000",475000,3,2.25,1190,1200,"3",0,0,3,8,1190,0,2008,0,"98103",47.6542,-122.346,1180,1224
"8672200110","20150317T000000",1.088e+006,5,3.75,4170,8142,"2",0,2,3,10,4170,0,2006,0,"98056",47.5354,-122.181,3030,7980
"5087900040","20141017T000000",350000,4,2.75,2500,5995,"2",0,0,3,8,2500,0,2008,0,"98042",47.3749,-122.107,2530,5988
"1972201967","20141031T000000",520000,2,2.25,1530,981,"3",0,0,3,8,1480,50,2006,0,"98103",47.6533,-122.346,1530,1282
"7502800100","20140813T000000",679950,5,2.75,3600,9437,"2",0,0,3,9,3600,0,2014,0,"98059",47.4822,-122.131,3550,9421
"0191100405","20150421T000000",1.575e+006,4,3.25,3410,10125,"2",0,0,3,10,3410,0,2007,0,"98040",47.5653,-122.223,2290,10125
"8956200760","20141013T000000",541800,4,2.5,3118,7866,"2",0,2,3,9,3118,0,2014,0,"98001",47.2931,-122.264,2673,6500
"7202300110","20140915T000000",810000,4,3,3990,7838,"2",0,0,3,9,3990,0,2003,0,"98053",47.6857,-122.046,3370,6814
"0249000205","20141015T000000",1.537e+006,5,3.75,4470,8088,"2",0,0,3,11,4470,0,2008,0,"98004",47.6321,-122.2,2780,8964
"5100403806","20150407T000000",467000,3,2.5,1425,1179,"3",0,0,3,8,1425,0,2008,0,"98125",47.6963,-122.318,1285,1253
"0844000965","20140626T000000",224000,3,1.75,1500,11968,"1",0,0,3,6,1500,0,2014,0,"98010",47.3095,-122.002,1320,11303
"7852140040","20140825T000000",507250,3,2.5,2270,5536,"2",0,0,3,8,2270,0,2003,0,"98065",47.5389,-121.881,2270,5731
"9834201367","20150126T000000",429000,3,2,1490,1126,"3",0,0,3,8,1490,0,2014,0,"98144",47.5699,-122.288,1400,1230
"3448900210","20141014T000000",610685,4,2.5,2520,6023,"2",0,0,3,9,2520,0,2014,0,"98056",47.5137,-122.167,2520,6023
"7936000429","20150326T000000",1.0075e+006,4,3.5,3510,7200,"2",0,0,3,9,2600,910,2009,0,"98136",47.5537,-122.398,2050,6200
"2997800021","20150219T000000",475000,3,2.5,1310,1294,"2",0,0,3,8,1180,130,2008,0,"98116",47.5773,-122.409,1330,1265
"0263000018","20140521T000000",360000,3,2.5,1530,1131,"3",0,0,3,8,1530,0,2009,0,"98103",47.6993,-122.346,1530,1509
"6600060120","20150223T000000",400000,4,2.5,2310,5813,"2",0,0,3,8,2310,0,2014,0,"98146",47.5107,-122.362,1830,7200
"1523300141","20140623T000000",402101,2,0.75,1020,1350,"2",0,0,3,7,1020,0,2009,0,"98144",47.5944,-122.299,1020,2007
"0291310100","20150116T000000",400000,3,2.5,1600,2388,"2",0,0,3,8,1600,0,2004,0,"98027",47.5345,-122.069,1410,1287
"1523300157","20141015T000000",325000,2,0.75,1020,1076,"2",0,0,3,7,1020,0,2008,0,"98144",47.5941,-122.299,1020,1357
